Team,Won,Drawn,Lost,GF,GA,GD,Points
Liverpool,5,0,1,12,2,+10,15
Manchester City,4,2,0,14,6,+8,14
Arsenal,4,2,0,12,5,+7,14
Chelsea,4,1,1,15,7,+8,13
Aston Villa,4,1,1,12,9,+3,13
Fulham,3,2,1,8,5,+3,11
Newcastle United,3,2,1,8,7,+1,11
Tottenham Hotspur,3,1,2,12,5,+7,10
Brighton & Hove Albion,2,3,1,10,8,+2,9
Nottingham Forest,2,3,1,6,5,+1,9
Brentford,2,1,3,8,10,-2,7
Manchester United,2,1,3,5,8,-3,7
Bournemouth,1,2,2,5,8,-3,5
West Ham United,1,2,3,6,10,-4,5
Ipswich Town,0,4,2,5,10,-5,4
Everton,1,1,4,7,15,-8,4
Leicester City,0,3,3,8,12,-4,3
Crystal Palace,0,3,3,5,9,-4,3
Southampton,0,1,4,2,9,-7,1
Wolverhampton Wanderers,0,1,5,6,16,-10,1
